"","drug_name","AA_indication","url","AA_date","TA_date","type"
"1","Jayprica (pirtobrutinib)","Adult patients with chronic lymphocytic leukemia or small lymphocytic lymphoma (CLL/SLL) who have received at least two prior lines of therapy, including a BTK inhibitor and a BCL-2 inhibitor","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-pirtobrutinib-chronic-lymphocytic-leukemia-and-small-lymphocytic","12/1/2023","12/3/2025","AA_VerifiedBenefit"
"2","Darzalex Faspro (daratumumab and hyaluronidase-fihj)","Treatment of patients with light chain (AL) amyloidosis in combination with bortezomib, cyclophosphamide and dexamethasone in newly diagnosed patients","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-darzalex-faspro-newly-diagnosed-light-chain-amyloidosis","1/15/2021","11/19/2025","AA_VerifiedBenefit"
"3","Imdelltra (tarlatamab-dlle)","Adult patients with extensive stage small cell lung cancer (ES-SCLC) with disease progression on or after platinum-based chemotherapy","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-tarlatamab-dlle-extensive-stage-small-cell-lung-cancer","5/16/2024","11/19/2025","AA_VerifiedBenefit"
"4","Epkinly (epcoritamab-bysp)","Treatment of adult patients with relapsed or refractory follicular lymphoma (FL) after two or more lines of systemic therapy","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-epcoritamab-bysp-relapsed-or-refractory-follicular-lymphoma","6/24/2024","11/18/2025","AA_VerifiedBenefit"
"5","Yervoy (ipilimumab)","In combination with nivolumab, for the treatment of patients with hepatocellular carcinoma (HCC) who have been previously treated with sorafenib","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-nivolumab-and-ipilimumab-combination-hepatocellular-carcinoma","3/10/2020","4/11/2025","AA_VerifiedBenefit"
"6","Opdivo (nivolumab)","In combination with ipilimumab, for the treatment of patients with hepatocellular carcinoma (HCC) who have been previously treated with sorafenib","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-nivolumab-and-ipilimumab-combination-hepatocellular-carcinoma","3/10/2020","4/11/2025","AA_VerifiedBenefit"
"7","Vitrakvi (larotrectinib)","Treatment of adult and pediatric patients with solid tumors that have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a known acquired resistance mutation; are metastatic or where surgical resection is likely to result in severe morbidity; and have no satisfactory alternative treatments or that have progressed following treatment","https://www.fda.gov/drugs/fda-approves-larotrectinib-solid-tumors-ntrk-gene-fusions-0","11/26/2018","4/09/2025","AA_VerifiedBenefit"
"8","Opdivo (nivolumab)","For the treatment of adult and pediatric patients 12 years and older with microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) metastatic colorectal cancer (CRC) that has progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-nivolumab-accelerated-approval-msi-h-or-dmmr-colorectal-cancer","7/31/2017","4/08/2025","AA_VerifiedBenefit"
"9","Opdivo (nivolumab)","In combination with ipilimumab, is indicated for the treatment of adults and pediatric patients 12 years and older with microsatellite instability-high (MSI-H) or DNA mismatch repair deficient (dMMR), metastatic colorectal cancer that has progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-ipilimumab-msi-h-or-dmmr-metastatic-colorectal-cancer","7/10/2018","4/08/2025","AA_VerifiedBenefit"
"10","Yervoy (ipilimumab)","In combination with nivolumab, is indicated for the treatment of adults and pediatric patients 12 years and older with microsatellite instability-high (MSI-H) or DNA mismatch repair deficient (dMMR), metastatic colorectal cancer that has progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-ipilimumab-msi-h-or-dmmr-metastatic-colorectal-cancer","7/10/2018","4/08/2025","AA_VerifiedBenefit"
"11","Keytruda (pembrolizumab)","In combination with trastuzumab and fluoropyrimidine- and platinum-containing chemotherapy, for the first-line treatment of patients with locally advanced unresectable or metastatic HER2 positive gastric or gastroesophageal junction (GEJ) adenocarcinoma 1 ","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-pembrolizumab-her2-positive-gastric-cancer","5/5/2021","3/19/2025","AA_VerifiedBenefit"
