"","drug_name","AA_indication","url","AA_date","withdrawal_date"
"1","Trodelvy (sacituzumab govitecan-hziy)","Treatment of adult patients with locally advanced or metastatic urothelial cancer (mUC) who have previously received a platinum-containing chemotherapy and either programmed death receptor-1 (PD-1) or programmed death-ligand 1 (PD-L1) inhibitor ","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-sacituzumab-govitecan-advanced-urothelial-cancer","04/13/2021","11/22/2024"
"2","Exkivity (mobocertinib)","Treatment of adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with EGFR exon 20 insertion mutations, as detected by an FDA-approved test, whose disease has progressed on or after platinum-based chemotherapy","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-mobocertinib-metastatic-non-small-cell-lung-cancer-egfr-exon-20","9/15/2021","7/15/2024"
"3","Truseltiq (infigratinib)","Treatment of adult patients with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with fibroblast growth factor receptor 2 (FGFR2) gene fusions or other rearrangement as detected by an FDA approved test","https://www.fda.gov/drugs/resources-information-approved-drugs/withdrawn-fda-grants-accelerated-approval-infigratinib-metastatic-cholangiocarcinoma","5/28/2021","5/16/2024"
"4","Aliqopa (copanlisib)","Treatment of adult patients with relapsed follicular lymphoma (FL) who have received at least two prior systemic therapies","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-copanlisib-relapsed-follicular-lymphoma","9/14/2017","3/18/2024"
"5","Pepaxto (melphalan flufenamide)","In combination with dexamethasone for the treatment of adult patients with relapsed or refractory (R/R) multiple myeloma (MM) who have received at least four prior lines of therapy and whose disease is refractory to at least one proteasome inhibitor, one immunomodulatory agent, and one CD-38 directed monoclonal antibody","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-melphalan-flufenamide-relapsed-or-refractory-multiple-myeloma","2/26/2021","2/23/2024"
"6","Gavreto (pralsetinib)","Treatment of adult and pediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-pralsetinib-ret-altered-thyroid-cancers","12/1/2020","7/20/2023"
"7","Imbruvica (ibrutinib)","Adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy",NA,"11/13/2013","5/18/2023"
"8","Imbruvica (ibrutinib)","Adult patients with marginal zone lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy",NA,"1/18/2017","5/18/2023"
"9","Blenrep (belantamab mafodotin-blmf)","Adults patients with relapsed or refractory (R/R) multiple myeloma (MM) who have received at least four prior therapies including an anti-CD38 monoclonal antibody, a proteasome inhibitor, and an immunomodulatory agent","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-granted-accelerated-approval-belantamab-mafodotin-blmf-multiple-myeloma","8/5/2020","2/6/2023"
"10","Tecentriq (atezolizumab)","Patients with locally advanced or metastatic urothelial carcinoma (mUC) who are not eligible for cisplatin-containing chemotherapy and whose tumors express PD-L1 as determined by an FDA approved test or who are not eligible for any platinum-containing chemotherapy regardless of PD-L1 status",NA,"4/17/2017","12/2/2022"
