"","description","url"
"1","FDA granted accelerated approval to rucaparib (RUBRACA, Clovis Oncology, Inc.) for treatment of patients with deleterious BRCA mutation (germline and/or somatic) associated advanced ovarian cancer who have been treated with two or more chemotherapies. More Information. December 19, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm533891.htm"
"2","FDA approved daratumumab (DARZALEX, Janssen Biotech, Inc.) in combination with lenalidomide and dexamethasone, or bortezomib and dexamethasone, for the treatment of patients with multiple myeloma who have received at least one prior therapy. More Information. November 21, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm530249.htm"
"3","FDA approved nivolumab (OPDIVO Injection, Bristol-Myers Squibb Company), for the treatment of patients with recurrent or metastatic squamous cell carcinoma of the head and neck (SCCHN) with disease progression on or after a platinum-based therapy. More Information. November 10, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm528920.htm"
"4","FDA approved pembrolizumab (KEYTRUDA, Merck & Co., Inc.) for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1 as determined by an FDA-approved test. More Information. October 24, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm526430.htm"
"5","FDA granted accelerated approval to olaratumab (LARTRUVO, Eli Lilly and Company) for the treatment of patients with soft tissue sarcoma (STS) not amenable to curative treatment with radiotherapy or surgery and with a histologic subtype for which an anthracycline-containing regimen is appropriate. More Information. October 19, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm526087.htm"
"6","FDA approved atezolizumab (TECENTRIQ, Genentech Oncology) for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose disease progressed during or following platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving atezolizumab. More Information. October 18, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm525780.htm"
"7","FDA modified the indication for erlotinib (TARCEVA, Astellas Pharm Global Development Inc.) for treatment of non-small cell lung cancer (NSCLC) to limit use to patients whose tumors have specific epidermal growth factor receptor (EGFR) mutations. More Information. October 18, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm525739.htm"
"8","FDA modified the dosage regimen for nivolumab (Opdivo, Bristol-Myers Squibb Co.) for the currently approved indications for renal cell carcinoma, metastatic melanoma, and non-small cell lung cancer. The currently approved recommended dosage regimens were modified to 240 mg intravenously (IV) every two weeks. More Information. September 13, 2016.","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm520871.htm"
"9","FDA granted accelerated approval to pembrolizumab (KEYTRUDA injection, Merck Sharp & Dohme Corp.) for the treatment of patients with recurrent or metastatic head and neck squamous cell carcinoma (HNSCC) with disease progression on or after platinum-containing chemotherapy. More Information. August 5, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm515627.htm"
"10","FDA approved cobas EGFR Mutation Test v2 (Roche Molecular Systems, Inc.) using plasma specimens as a companion diagnostic test for the detection of exon 19 deletions or exon 21 (L858R) substitution mutations in the epidermal growth factor receptor (EGFR) gene to identify patients with metastatic non-small cell lung cancer (NSCLC) eligible for treatment with Tarceva (erlotinib). More Information. June 1, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm504540.htm"
