"","title","description","url","date"
"1","FDA approves lisocabtagene maraleucel for relapsed or refractory marginal zone lymphoma","On December 4, 2025, the Food and Drug Administration approved lisocabtagene maraleucel (Breyanzi, Juno Therapeutics, Inc., a Bristol-Myers Squibb Company) for adults with relapsed or refractory marginal zone lymphoma (MZL) who have received at least two prior lines of systemic therapy","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-lisocabtagene-maraleucel-relapsed-or-refractory-marginal-zone-lymphoma","12/4/2025"
"2","FDA grants traditional approval to pirtobrutinib for chronic lymphocytic leukemia and small lymphocytic lymphoma","On December 3, 2025, the Food and Drug Administration granted traditional approval to pirtobrutinib (Jaypirca, Eli Lilly and Company) for adults with relapsed or refractory chronic lymphocytic leukemia or small lymphocytic lymphoma (CLL/SLL) who have previously been treated with a covalent BTK inhibitor. In 2023, FDA granted accelerated approval to pirtobrutinib for adults with CLL/SLL who have received at least two prior lines of therapy, including a BTK inhibitor and a BCL-2 inhibitor.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-traditional-approval-pirtobrutinib-chronic-lymphocytic-leukemia-and-small-lymphocytic","12/3/2025"
"3","FDA approves durvalumab for resectable gastric or gastroesophageal junction adenocarcinoma","On November 25, 2025, the Food and Drug Administration approved durvalumab (Imfinzi, AstraZeneca) with fluorouracil, leucovorin, oxaliplatin, and docetaxel (FLOT) chemotherapy as neoadjuvant and adjuvant treatment, followed by single agent durvalumab, for adults with resectable gastric or gastroesophageal junction adenocarcinoma (GC/GEJC).","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-durvalumab-resectable-gastric-or-gastroesophageal-junction-adenocarcinoma","11/25/2025"
"4","FDA approves pembrolizumab with enfortumab vedotin-ejfv for muscle invasive bladder cancer","On November 21, 2025, the Food and Drug Administration approved pembrolizumab (Keytruda, Merck) or pembrolizumab and berahyaluronidase alfa-pmph (Keytruda Qlex, Merck) with enfortumab vedotin-ejfv (Padcev, Astellas Pharma) as neoadjuvant treatment followed by adjuvant treatment after cystectomy for adults with muscle invasive bladder cancer (MIBC) who are ineligible for cisplatin.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-pembrolizumab-enfortumab-vedotin-ejfv-muscle-invasive-bladder-cancer","11/21/2025"
"5","FDA grants traditional approval to tarlatamab-dlle for extensive stage small cell lung cancer","On November 19, 2025, the Food and Drug Administration granted traditional approval to tarlatamab-dlle (Imdelltra, Amgen Inc.) for adults with extensive stage small cell lung cancer (ES-SCLC) with disease progression on or after platinum-based chemotherapy. Tarlatamab-dlle received accelerated approval for this indication in 2024.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-traditional-approval-tarlatamab-dlle-extensive-stage-small-cell-lung-cancer","11/19/2025"
"6","FDA grants accelerated approval to sevabertinib for non-squamous non-small cell lung cancer","On November 19, 2025, the Food and Drug Administration granted accelerated approval to sevabertinib (Hyrnuo, Bayer HealthCare Pharmaceuticals Inc.), a kinase inhibitor, for adults with locally advanced or metastatic, non-squamous non-small cell lung cancer (NSCLC) whose tumors have HER2 (ERBB2) tyrosine kinase domain (TKD) activating mutations, as detected by an FDA-approved test, and who have received a prior systemic therapy.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-sevabertinib-non-squamous-non-small-cell-lung-cancer","11/19/2025"
"7","FDA grants traditional approval to daratumumab and hyaluronidase-fihj for newly diagnosed light chain amyloidosis","On November 19, 2025, the Food and Drug Administration granted traditional approval to daratumumab and hyaluronidase-fihj (Darzalex Faspro, Janssen Biotech Inc.) with bortezomib, cyclophosphamide, and dexamethasone (VCd) for newly diagnosed light chain (AL) amyloidosis. FDA granted accelerated approval for this indication in 2021.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-traditional-approval-daratumumab-and-hyaluronidase-fihj-newly-diagnosed-light-chain","11/19/2025"
"8","FDA approves selumetinib for adults with neurofibromatosis type 1 with symptomatic, inoperable plexiform neurofibromas","On November 19, 2025, the Food and Drug Administration approved selumetinib (KOSELUGO, AstraZeneca Pharmaceuticals LP) for adults with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN). FDA previously approved selumetinib capsules and granules for pediatric patients 1 year of age and older for this indication.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-selumetinib-adults-neurofibromatosis-type-1-symptomatic-inoperable-plexiform","11/19/2025"
"9","FDA approves epcoritamab-bysp for follicular lymphoma indications","On November 18, 2025, the Food and Drug Administration approved epcoritamab-bysp (Epkinly, Genmab US, Inc.) with lenalidomide and rituximab for relapsed or refractory follicular lymphoma (FL). The FDA also granted traditional approval to epcoritamab-bysp as monotherapy for relapsed or refractory FL after two or more lines of systemic therapy (epcoritamab-bysp was granted accelerated approval for this indication in 2024). ","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-epcoritamab-bysp-follicular-lymphoma-indications","11/18/2025"
"10","FDA approves new interchangeable biosimilar to Perjeta","On November 13, 2025, the Food and Drug Administration approved Poherdy (pertuzumab-dpzb, Shanghai Henlius Biologics Co. Ltd.) as an interchangeable biosimilar to Perjeta (pertuzumab, Genentech Inc.). This is the first approval of a biosimilar for Perjeta.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-new-interchangeable-biosimilar-perjeta","11/13/2025"
"11","FDA approves ziftomenib for relapsed or refractory acute myeloid leukemia with a NPM1 mutation","On November 13, 2025, the Food and Drug Administration approved ziftomenib (Komzifti, Kura Oncology, Inc.), a menin inhibitor, for adults with relapsed or refractory acute myeloid leukemia (AML) with a susceptible nucleophosmin 1 (NPM1) mutation who have no satisfactory alternative treatment options.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-ziftomenib-relapsed-or-refractory-acute-myeloid-leukemia-npm1-mutation","11/13/2025"
"12","FDA approves daratumumab and hyaluronidase-fihj for high-risk smoldering multiple myeloma","On November 6, 2025, the Food and Drug Administration approved daratumumab and hyaluronidase-fihj (Darzalex Faspro, Janssen Biotech, Inc.) for adults with high-risk smoldering multiple myeloma (SMM).","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-daratumumab-and-hyaluronidase-fihj-high-risk-smoldering-multiple-myeloma","11/6/2025"
"13","FDA approves revumenib for relapsed or refractory acute myeloid leukemia with a susceptible NPM1 mutation","On October 24, 2025, the Food and Drug Administration approved revumenib (Revuforj, Syndax Pharmaceuticals, Inc.), a menin inhibitor, for relapsed or refractory acute myeloid leukemia with a susceptible nucleophosmin 1 (NPM1) mutation in adult and pediatric patients 1 year and older who have no satisfactory alternative treatment options.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-revumenib-relapsed-or-refractory-acute-myeloid-leukemia-susceptible-npm1-mutation","10/24/2025"
"14","FDA approves belantamab mafodotin-blmf for relapsed or refractory multiple myeloma","On October 23, 2025, the Food and Drug Administration approved belantamab mafodotin-blmf (Blenrep, GlaxoSmithKline), a B-cell maturation antigen (BCMA)-directed antibody and microtubule inhibitor conjugate, with bortezomib and dexamethasone for adults with relapsed or refractory multiple myeloma who have received at least two prior lines of therapy, including a proteasome inhibitor and an immunomodulatory agent.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-belantamab-mafodotin-blmf-relapsed-or-refractory-multiple-myeloma","10/23/2025"
"15","FDA approves cemiplimab-rwlc for adjuvant treatment of cutaneous squamous cell carcinoma","On October 8, 2025, the Food and Drug Administration approved cemiplimab-rwlc (Libtayo, Regeneron Pharmaceuticals Inc.) for the adjuvant treatment of adults with cutaneous squamous cell carcinoma (CSCC) at high risk of recurrence after surgery and radiation.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-cemiplimab-rwlc-adjuvant-treatment-cutaneous-squamous-cell-carcinoma","10/8/2025"
"16","FDA approves lurbinectedin in combination with atezolizumab or atezolizumab and hyaluronidase-tqjs for extensive-stage small cell lung cancer","On October 2, 2025, the Food and Drug Administration approved lurbinectedin (Zepzelca, Jazz Pharmaceuticals, Inc.) in combination with atezolizumab (Tecentriq, Genentech Inc.) or atezolizumab and hyaluronidase-tqjs (Tecentriq Hybreza, Genentech Inc.) for the maintenance treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC) whose disease has not progressed after first-line induction therapy with atezolizumab or atezolizumab and hyaluronidase-tqjs, carboplatin, and etoposide.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-lurbinectedin-combination-atezolizumab-or-atezolizumab-and-hyaluronidase-tqjs-extensive","10/2/2025"
"17","FDA approves imlunestrant for ER-positive, HER2-negative, ESR1-mutated advanced or metastatic breast cancer","On September 25, 2025, the Food and Drug Administration approved imlunestrant (Inluriyo, Eli Lilly and Company), an estrogen receptor antagonist, for adults with estrogen receptor (ER)-positive, human epidermal growth factor 2 (HER2)-negative, estrogen receptor-1 (ESR1)-mutated advanced or metastatic breast cancer with disease progression following at least one line of endocrine therapy.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-imlunestrant-er-positive-her2-negative-esr1-mutated-advanced-or-metastatic-breast","9/25/2025"
"18","FDA approves pembrolizumab and berahyaluronidase alfa-pmph for subcutaneous injection","On September 19, 2025, the Food and Drug Administration approved pembrolizumab and berahyaluronidase alfa-pmph (Keytruda Qlex, Merck) for subcutaneous injection for adult and pediatric (12 years and older) solid tumor indications approved for the intravenous formulation of pembrolizumab (Keytruda, Merck). See the prescribing information for the specific indications.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-pembrolizumab-and-berahyaluronidase-alfa-pmph-subcutaneous-injection","9/19/2025"
"19","FDA approves selumetinib for pediatric patients 1 year of age and older with neurofibromatosis type 1 with symptomatic, inoperable plexiform neurofibromas","On September 10, 2025, the Food and Drug Administration approved selumetinib (KOSELUGO, AstraZeneca Pharmaceuticals LP) granules and capsules for pediatric patients 1 year of age and older with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN). FDA previously approved selumetinib capsules for pediatric patients 2 years of age and older with NF1 who have symptomatic, inoperable PN.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-selumetinib-pediatric-patients-1-year-age-and-older-neurofibromatosis-type-1","9/10/2025"
"20","FDA approves gemcitabine intravesical system for non-muscle invasive bladder cancer","On September 9, 2025, the Food and Drug Administration approved gemcitabine intravesical system (Inlexzo, Janssen Biotech, Inc.) for adults with Bacillus Calmette-Guérin (BCG)-unresponsive non-muscle invasive bladder cancer (NMIBC) with carcinoma in situ (CIS) with or without papillary tumors. Gemcitabine intravesical system is co-packaged with a urinary catheter and stylet used for insertion through the urinary catheter into the bladder.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-gemcitabine-intravesical-system-non-muscle-invasive-bladder-cancer","9/9/2025"
"21","FDA grants accelerated approval to zongertinib for non-squamous NSCLC with HER2 TKD activating mutations","On August 8, 2025, the Food and Drug Administration granted accelerated approval to zongertinib (Hernexeos, Boehringer Ingelheim Pharmaceuticals, Inc.), a kinase inhibitor, for adults with unresectable or metastatic non-squamous non-small cell lung cancer (NSCLC) whose tumors have HER2 (ERBB2) tyrosine kinase domain (TKD) activating mutations, as detected by an FDA-approved test, and who have received prior systemic therapy.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-zongertinib-non-squamous-nsclc-her2-tkd-activating-mutations","8/8/2025"
"22","FDA grants accelerated approval to dordaviprone for diffuse midline glioma","On August 6, 2025, the Food and Drug Administration granted accelerated approval to dordaviprone (Modeyso, Jazz Pharmaceuticals, Inc.), a protease activator, for adult and pediatric patients 1 year of age and older with diffuse midline glioma harboring an H3 K27M mutation with progressive disease following prior therapy.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-dordaviprone-diffuse-midline-glioma","8/6/2025"
"23","FDA grants accelerated approval to sunvozertinib for metastatic non-small cell lung cancer with EGFR exon 20 insertion mutations","On July 2, 2025, the Food and Drug Administration granted accelerated approval to sunvozertinib (Zegfrovy, Dizal (Jiangsu) Pharmaceutical Co., Ltd.) for adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 20 insertion mutations, as detected by an FDA-approved test, whose disease has progressed on or after platinum-based chemotherapy.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-sunvozertinib-metastatic-non-small-cell-lung-cancer-egfr-exon-20","7/2/2025"
"24","FDA grants accelerated approval to linvoseltamab-gcpt for relapsed or refractory multiple myeloma","On July 2, 2025, the Food and Drug Administration granted accelerated approval to linvoseltamab-gcpt (Lynozyfic, Regeneron Pharmaceuticals, Inc.), a bispecific B-cell maturation antigen (BCMA)-directed CD3 T-cell engager, for adults with relapsed or refractory multiple myeloma who have received at least four prior lines of therapy, including a proteasome inhibitor (PI), an immunomodulatory agent (IMiD), and an anti-CD38 monoclonal antibody.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-linvoseltamab-gcpt-relapsed-or-refractory-multiple-myeloma","7/2/2025"
"25","FDA grants accelerated approval to datopotamab deruxtecan-dlnk for EGFR-mutated non-small cell lung cancer","On June 23, 2025, the Food and Drug Administration granted accelerated approval to datopotamab deruxtecan-dlnk (Datroway, Daiichi Sankyo, Inc.) for adults with locally advanced or metastatic epidermal growth factor receptor (EGFR)-mutated non-small cell lung cancer (NSCLC) who have received prior EGFR-directed therapy and platinum-based chemotherapy.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-datopotamab-deruxtecan-dlnk-egfr-mutated-non-small-cell-lung-cancer","6/23/2025"
"26","FDA approves tafasitamab-cxix for relapsed or refractory follicular lymphoma","On June 18, 2025, the Food and Drug Administration approved tafasitamab-cxix (Monjuvi, Incyte Corporation) with lenalidomide and rituximab for adults with relapsed or refractory follicular lymphoma (FL). ","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-tafasitamab-cxix-relapsed-or-refractory-follicular-lymphoma","6/18/2025"
"27","FDA approves neoadjuvant and adjuvant pembrolizumab for resectable locally advanced head and neck squamous cell carcinoma","On June 12, 2025, the Food and Drug Administration approved pembrolizumab (Keytruda, Merck) for adults with resectable locally advanced head and neck squamous cell carcinoma (HNSCC) whose tumors express PD-L1 [Combined Positive Score (CPS) ≥1] as determined by an FDA-approved test, as a single agent as neoadjuvant treatment, continued as adjuvant treatment in combination with radiotherapy (RT) with or without cisplatin after surgery, and then as a single agent.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-neoadjuvant-and-adjuvant-pembrolizumab-resectable-locally-advanced-head-and-neck","6/12/2025"
"28","FDA approves mitomycin intravesical solution for recurrent low-grade intermediate-risk non-muscle invasive bladder cancer","On June 12, 2025, the Food and Drug Administration approved mitomycin intravesical solution (Zusduri, UroGen Pharma) for adult patients with recurrent low-grade intermediate-risk non-muscle invasive bladder cancer (LG-IR-NMIBC).","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-mitomycin-intravesical-solution-recurrent-low-grade-intermediate-risk-non-muscle","6/12/2025"
"29","FDA approves taletrectinib for ROS1-positive non-small cell lung cancer","On June 11, 2025, the Food and Drug Administration approved taletrectinib (Ibtrozi, Nuvation Bio Inc.), a kinase inhibitor, for adults with locally advanced or metastatic ROS1-positive non-small cell lung cancer (NSCLC).","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-taletrectinib-ros1-positive-non-small-cell-lung-cancer","6/11/2025"
"30","FDA approves darolutamide for metastatic castration-sensitive prostate cancer","On June 3, 2025, the Food and Drug Administration (FDA) approved darolutamide (Nubeqa, Bayer Healthcare Pharmaceuticals Inc.) for metastatic castration-sensitive prostate cancer (mCSPC). The FDA previously approved darolutamide in combination with docetaxel for mCSPC.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-darolutamide-metastatic-castration-sensitive-prostate-cancer","6/3/2025"
